timestep,stage_similarity_far,stage_similarity_approaching,stage_similarity_near,stage_similarity_touching,stage_progress,stage_prob_far,stage_prob_approaching,stage_prob_near,stage_prob_touching,bidirectional_raw,bidirectional_ema,bidirectional_norm,bidirectional_visual,distance,gt_raw,gt_norm,episode_progress
0,0.5662630421092048,0.9842317921092048,0.6915494578907952,0.5701692921092048,0.3519623265787959,0.014107235707342625,0.9218432903289795,0.0493803545832634,0.014669203199446201,0.0,0.0,-1.0,0.0,0.3057793986419337,0.0,0.3884412027161326,0.0
1,0.5665090847971133,0.9844778347971133,0.6913034152028867,0.5704153347971133,0.35188518844544886,0.014110652729868889,0.9220667481422424,0.049149855971336365,0.014672758057713509,-7.713813334703223e-05,-7.713813334703223e-05,-7.713813334703223e-05,-0.07713813334703223,0.30501590502027504,0.000763493621658673,0.38996818995944993,-7.713813334703223e-05
2,0.5666024560866013,0.9845712060866013,0.6912100439133987,0.5705087060866013,0.35185595680028203,0.014111953787505627,0.9221511483192444,0.049062639474868774,0.014674109406769276,-2.9231645166827303e-05,-6.995216012000148e-05,1.0,-0.029231645166827303,0.304562988817138,0.0004529162031370326,0.390874022365724,-0.00010636977851385954
3,0.5666773471541394,0.9846460971541394,0.6911351528458606,0.5705835971541394,0.35183265268802644,0.014112991280853748,0.9222189784049988,0.048992838710546494,0.01467518787831068,-2.3304112255595477e-05,-6.295495294034058e-05,1.0,-0.023304112255595477,0.30428748610903117,0.00027550270810683397,0.39142502778193766,-0.00012967389076945501
4,0.5667536424291939,0.9847223924291939,0.6910588575708061,0.5706598924291939,0.35180888760834933,0.014114046469330788,0.9222878813743591,0.048921793699264526,0.014676284976303577,-2.376507967710717e-05,-5.707647195085556e-05,1.0,-0.02376507967710717,0.30411649443595956,0.00017099167307160767,0.3917670111280809,-0.00015343897044656218
5,0.5667712418300653,0.9847399918300653,0.6910412581699347,0.5706774918300653,0.351803432404995,0.014114288613200188,0.9223039150238037,0.048905376344919205,0.014676538296043873,-5.4552033543209255e-06,-4.9333281661375365e-05,1.0,-0.0054552033543209255,0.30400880752347503,0.00010768691248452811,0.39198238495304993,-0.0001588941738008831
6,0.5668021131195534,0.9847708631195534,0.6910103868804466,0.5707083631195534,0.35179380763322116,0.014114712364971638,0.9223315715789795,0.04887672886252403,0.014676980674266815,-9.624771773852903e-06,-4.3377005178247e-05,1.0,-0.009624771773852903,0.30394036231103555,6.844521243948298e-05,0.3921192753779289,-0.000168518945574736
7,0.5668078959014161,0.9847766459014161,0.6910046040985839,0.5707141459014161,0.3517919605597854,0.014114787802100182,0.9223368763923645,0.0488712452352047,0.014677057042717934,-1.8470734357567409e-06,-3.7147515416873456e-05,1.0,-0.0018470734357567409,0.30389667650359087,4.36858074446822e-05,0.39220664699281826,-0.00017036601901049275
8,0.5668209422657952,0.9847896922657952,0.6909915577342048,0.5707271922657952,0.3517879517003894,0.014114967547357082,0.9223486185073853,0.04885919764637947,0.014677245169878006,-4.0088593959985985e-06,-3.217671701374222e-05,1.0,-0.0040088593959985985,0.30386880680559486,2.7869697996008025e-05,0.3922623863888103,-0.00017437487840649135
9,0.5668457712077887,0.9848145212077887,0.6909667287922113,0.5707520212077887,0.3517801984399557,0.014115302823483944,0.9223710298538208,0.04883606731891632,0.014677593484520912,-7.753260433673859e-06,-2.8513198526731966e-05,1.0,-0.007753260433673859,0.303851116913549,1.7689892045869016e-05,0.392297766172902,-0.0001821281388401652
10,0.5668428010961328,0.9848115510961328,0.6909696989038672,0.5707490510961328,0.3517811526358128,0.014115276746451855,0.9223682880401611,0.04883888363838196,0.014677565544843674,9.541958570502551e-07,-2.409308936916463e-05,1.0,0.0009541958570502551,0.30384000071950096,1.1116194048033101e-05,0.3923199985609981,-0.00018117394298311496
11,0.5668440819035947,0.9848128319035947,0.6909684180964053,0.5707503319035947,0.35178074322640895,0.014115286991000175,0.9223695397377014,0.04883763939142227,0.014677576720714569,-4.094094038231688e-07,-2.0540537374363408e-05,1.0,-0.0004094094038231688,0.303833127540289,6.873179211941416e-06,0.39233374491942197,-0.00018158335238693812
12,0.5668445797589869,0.9848133297589869,0.6909679202410131,0.5707508297589869,0.3517805913463235,0.014115293510258198,0.9223699569702148,0.048837196081876755,0.014677584171295166,-1.5188008545274911e-07,-1.7482238781026808e-05,1.0,-0.00015188008545274911,0.30382898186991414,4.145670374877675e-06,0.3923420362601717,-0.00018173523247239087
13,0.566851970996732,0.984820720996732,0.690960529003268,0.570758220996732,0.3517782574519515,0.014115390367805958,0.9223765730857849,0.0488303080201149,0.0146776819601655,-2.333894371986389e-06,-1.5209987119670744e-05,1.0,-0.002333894371986389,0.3038265757117822,2.4061581319623215e-06,0.39234684857643565,-0.00018406912684437726
14,0.5668524220452069,0.9848211720452069,0.6909600779547931,0.5707586720452069,0.35177810899913314,0.01411539688706398,0.9223769903182983,0.04882986843585968,0.014677690342068672,-1.4845281837150281e-07,-1.2950756974475857e-05,1.0,-0.00014845281837150281,0.30382526545122773,1.3102605544434986e-06,0.39234946909754453,-0.00018421757966274876
15,0.566852626293573,0.984821376293573,0.690959873706427,0.570758876293573,0.35177808150649076,0.01411540899425745,0.9223771095275879,0.04882974922657013,0.014677703380584717,-2.7492642384885357e-08,-1.101226732466221e-05,1.0,-2.7492642384885357e-05,0.3038246332064489,6.322447788087437e-07,0.39235073358710215,-0.00018424507230513365
16,0.5668572942197713,0.9848260442197713,0.6909552057802287,0.5707635442197713,0.35177663482725624,0.014115472324192524,0.9223813414573669,0.04882540553808212,0.014677770435810089,-1.4466792345180224e-06,-9.577429111140582e-06,1.0,-0.0014466792345180224,0.30382440927976045,2.2392668846960007e-07,0.3923511814404791,-0.00018569175153965167
17,0.5668604600694445,0.9848292100694445,0.6909520399305555,0.5707667100694445,0.3517756275087595,0.014115515165030956,0.9223840832710266,0.04882248491048813,0.01467781513929367,-1.007318496726306e-06,-8.291912518978441e-06,1.0,-0.001007318496726306,0.3038244214190398,-1.2139279359502098e-08,0.39235115716192037,-0.00018669907003637798
18,0.5668632429534314,0.9848319929534314,0.6909492570465686,0.5707694929534314,0.351774785257876,0.014115551486611366,0.9223867654800415,0.048819851130247116,0.014677852392196655,-8.422508835370657e-07,-7.174463273662234e-06,1.0,-0.0008422508835370657,0.30382456095575666,-1.395367168477435e-07,0.3923508780884867,-0.00018754132091991504
19,0.5668636769812091,0.9848324269812091,0.6909488230187909,0.5707699269812091,0.35177465740591285,0.014115557074546814,0.9223871231079102,0.04881947860121727,0.014677856117486954,-1.2785196312758984e-07,-6.117471577082038e-06,1.0,-0.00012785196312758984,0.3038247607899488,-1.998341921383151e-07,0.3923504784201024,-0.00018766917288304263
20,0.5668637152777778,0.9848324652777778,0.6909487847222222,0.5707699652777778,0.35177462965250017,0.01411555614322424,0.9223871827125549,0.0488194078207016,0.014677856117486954,-2.775341267913234e-08,-5.204013852421602e-06,1.0,-2.775341267913234e-05,0.3038249806215548,-2.1983160597427442e-07,0.39235003875689045,-0.00018769692629572177
21,0.56686532373366,0.98483407373366,0.69094717626634,0.57077157373366,0.35177413165569305,0.014115572907030582,0.9223886728286743,0.04881790280342102,0.014677874743938446,-4.97996807125034e-07,-4.498111295627116e-06,1.0,-0.000497996807125034,0.30382519719851636,-2.1657696158694506e-07,0.3923496056029673,-0.0001881949231028468
22,0.5668645407815903,0.9848332907815903,0.6909479592184097,0.5707707907815903,0.3517743779346347,0.014115575700998306,0.9223878383636475,0.0488186813890934,0.014677874743938446,2.462789416290967e-07,-3.7864527600386842e-06,1.0,0.0002462789416290967,0.3038253981508179,-2.0095230152117338e-07,0.39234920369836424,-0.0001879486441612177
23,0.5668653875612746,0.9848341375612746,0.6909471124387254,0.5707716375612746,0.35177413128316404,0.014115587808191776,0.9223886728286743,0.04881788417696953,0.014677886851131916,-2.466514706367384e-07,-3.2554825666283922e-06,1.0,-0.0002466514706367384,0.30382557776587804,-1.7961506015851114e-07,0.3923488444682439,-0.00018819529563185444
24,0.5668634684776688,0.9848322184776688,0.6909490315223312,0.5707697184776688,0.3517746997624636,0.014115559868514538,0.922386884689331,0.0488196536898613,0.014677859842777252,5.684792995785948e-07,-2.6818882866973438e-06,1.0,0.0005684792995785948,0.3038257342321467,-1.5646626866372415e-07,0.3923485315357066,-0.00018762681633227585
25,0.5668629280705337,0.9848316780705337,0.6909495719294663,0.5707691780705337,0.3517748501524329,0.014115540310740471,0.9223864674568176,0.04882011562585831,0.014677838422358036,1.503899693111599e-07,-2.257046548296068e-06,1.0,0.0001503899693111599,0.30382586810627865,-1.3387413194676512e-07,0.3923482637874427,-0.0001874764263629647
26,0.5668620940563726,0.9848308440563726,0.6909504059436274,0.5707683440563726,0.35177515137940646,0.014115537516772747,0.9223857522010803,0.048820920288562775,0.014677836559712887,3.012269735314099e-07,-1.8733055200219465e-06,1.0,0.0003012269735314099,0.3038259811499129,-1.1304363423114694e-07,0.39234803770017423,-0.00018717519938943328
27,0.5668623280909586,0.9848310780909586,0.6909501719090414,0.5707685780909586,0.35177506089210514,0.014115545898675919,0.9223858714103699,0.04882071539759636,0.014677844010293484,-9.048730131855365e-08,-1.6058827872164375e-06,1.0,-9.048730131855365e-05,0.3038260755827256,-9.44328127361338e-08,0.39234784883454876,-0.00018726568669075183
28,0.566787343409586,0.984756093409586,0.691025156590414,0.570693593409586,0.3517983953654766,0.014114504680037498,0.9223183989524841,0.04889038950204849,0.014676762744784355,2.3334473371439124e-05,2.1351706365818965e-06,1.0,0.023334473371439124,0.3044141597409894,-0.0005880841582637797,0.3911716805180212,-0.0001639312133193127
29,0.5666258765659041,0.9845946265659041,0.6911866234340959,0.5705321265659041,0.35184868041425943,0.01411227136850357,0.922172486782074,0.0490407757461071,0.014674440026283264,5.0285048782849895e-05,9.357652358522096e-06,1.0,0.050285048782849895,0.3051251768122731,-0.0007110170712836816,0.38974964637545384,-0.00011364616453646281
30,0.566423594090414,0.984392344090414,0.691388905909586,0.570329844090414,0.35191191829741003,0.014109466224908829,0.9219892024993896,0.049229785799980164,0.014671524986624718,6.323788315060197e-05,1.7439686977334075e-05,1.0,0.06323788315060197,0.30591438116653064,-0.0007892043542575555,0.38817123766693873,-5.040828138586084e-05
31,0.5660894054670479,0.9840581554670479,0.6917230945329521,0.5699956554670479,0.3520169151574374,0.014104817062616348,0.9216848611831665,0.04954361543059349,0.01466668862849474,0.00010499686002735098,3.057326293483661e-05,1.0,0.10499686002735098,0.3067472784999399,-0.0008328973334092438,0.38650544300012024,5.458857864149014e-05
32,0.5657117034313726,0.9836804534313726,0.6921007965686274,0.5696179534313726,0.3521362891048193,0.014099513180553913,0.921338677406311,0.04990052431821823,0.014661174267530441,0.00011937394738192886,4.389336560190045e-05,1.0,0.11937394738192886,0.3075991300842848,-0.0008518515843449204,0.3848017398314304,0.000173962526023419
33,0.565328912207244,0.983297662207244,0.692483587792756,0.569235162207244,0.3522581635043025,0.014094107784330845,0.9209855198860168,0.05026475712656975,0.014655554667115211,0.00012187439948319057,5.559052068409396e-05,1.0,0.12187439948319057,0.3084529511748864,-0.0008538210906016142,0.38309409765022717,0.00029583692550660956
34,0.5649694904003268,0.9829382404003268,0.6928430095996732,0.5688757404003268,0.3523733676597476,0.014089005999267101,0.9206517338752747,0.05060902610421181,0.014650247991085052,0.00011520415544508111,6.453256589824203e-05,1.0,0.11520415544508111,0.30929741584904513,-0.0008444646741587181,0.38140516830190974,0.0004110410809516907
35,0.5645965158632897,0.9825652658632897,0.6932159841367103,0.5685027658632897,0.35249363668262956,0.014083657413721085,0.9203030467033386,0.05096857622265816,0.014644685201346874,0.00012026902288198027,7.289303444580276e-05,1.0,0.12026902288198027,0.3101251347372321,-0.0008277188881869457,0.37974973052553584,0.0005313101038336709
36,0.5642515403730938,0.9822202903730938,0.6935609596269062,0.5681577903730938,0.3526056430488825,0.014078695327043533,0.9199783205986023,0.05130339041352272,0.014639525674283504,0.00011200636625291471,7.876003421686956e-05,1.0,0.11200636625291471,0.3109313726288258,-0.0008062378915937307,0.3781372547423484,0.0006433164700865857
37,0.5638977439065904,0.9818664939065904,0.6939147560934096,0.5678039939065904,0.3527212326601148,0.0140735674649477,0.9196432828903198,0.05164888873696327,0.014634193852543831,0.00011558961123231404,8.428447076918623e-05,1.0,0.11558961123231404,0.31171314460962735,-0.0007817719808015378,0.3765737107807453,0.0007589060813188997
38,0.5634861877042484,0.9814549377042484,0.6943263122957516,0.5673924377042484,0.3528566473722458,0.014067568816244602,0.9192508459091187,0.052053600549697876,0.014627955853939056,0.0001354147121310212,9.195400697346148e-05,1.0,0.1354147121310212,0.3124685987723092,-0.0007554541626818567,0.3750628024553816,0.0008943207934499209
39,0.5629859281386166,0.9809546781386166,0.6948265718613834,0.5668921781386166,0.35302255012094974,0.014060210436582565,0.9187700152397156,0.052549462765455246,0.01462030503898859,0.00016590274870392774,0.0001030463182330314,1.0,0.16590274870392774,0.31319660540797284,-0.0007280066356636361,0.3736067891840543,0.0010602235421538486
40,0.5624523803444988,0.9804211303444988,0.6953601196555012,0.5663586303444988,0.3532011527568102,0.014052288606762886,0.9182522892951965,0.053083326667547226,0.014612068422138691,0.00017860263586044756,0.00011437976587714383,1.0,0.17860263586044756,0.31389648720191005,-0.0006998817939372071,0.3722070255961799,0.0012388261780142962
41,0.5618570772058823,0.9798258272058823,0.6959554227941177,0.5657633272058823,0.35340237572789196,0.014043346047401428,0.917668879032135,0.053684890270233154,0.014602769166231155,0.00020122297108177145,0.00012740624665783797,1.0,0.20122297108177145,0.31456784582062103,-0.0006713586187109821,0.37086430835875794,0.0014400491490960676
42,0.5612392216435185,0.9792079716435185,0.6965732783564815,0.5651454716435185,0.3536136153712869,0.014033984392881393,0.9170567989349365,0.05431617423892021,0.014593034982681274,0.00021123964339492263,0.00013998125616840066,1.0,0.21123964339492263,0.3152104511321277,-0.0006426053115066721,0.3695790977357446,0.0016512887924909903
43,0.5606236213235295,0.9785923713235295,0.6971888786764705,0.5645298713235295,0.35382633440196515,0.01402454823255539,0.9164400696754456,0.054952070116996765,0.014583224430680275,0.00021271903067826559,0.0001508919223448804,1.0,0.21271903067826559,0.3158241716405728,-0.0006137205084451036,0.3683516567188544,0.0018640078231692558
44,0.5599516059027777,0.9779203559027777,0.6978608940972223,0.5638578559027777,0.35406132794916634,0.014014129526913166,0.915759265422821,0.05565429851412773,0.014572390355169773,0.00023499354720118992,0.00016350716607332685,1.0,0.23499354720118992,0.3163284581667198,-0.0005042865261469798,0.36734308366656043,0.0020990013703704458
45,0.5593943823188998,0.9773631323188998,0.6984181176811002,0.5633006323188998,0.3542582220211625,0.014005389995872974,0.9151883721351624,0.0562429204583168,0.014563302509486675,0.0001968940719961898,0.0001685152019617563,1.0,0.1968940719961898,0.3167573606392854,-0.00042890247256560654,0.3664852787214292,0.0022958954423666356
46,0.5589119902301198,0.9768807402301198,0.6989005097698802,0.5628182402301198,0.354430254213512,0.01399775967001915,0.9146896004676819,0.05675719305872917,0.014555366709828377,0.00017203219234945832,0.0001690427505199116,1.0,0.17203219234945832,0.31714079085798175,-0.00038343021869635674,0.3657184182840365,0.002467927634716094
47,0.55842677270561,0.97639552270561,0.69938572729439,0.56233302270561,0.3546048152074218,0.013990023173391819,0.9141836166381836,0.05727895349264145,0.014547322876751423,0.0001745609939098336,0.0001698704870283999,1.0,0.1745609939098336,0.3175015666987969,-0.0003607758408151751,0.36499686660240616,0.0026424886286259275
48,0.5579473039215687,0.9759160539215687,0.6998651960784313,0.5618535539215687,0.35477881714701653,0.013982298783957958,0.9136793613433838,0.05779901146888733,0.014539290219545364,0.00017400193959471455,0.0001704902049133471,1.0,0.17400193959471455,0.31785597821036665,-0.00035441151156972994,0.3642880435792667,0.002816490568220642
49,0.5574808602260348,0.9754496102260348,0.7003316397739652,0.5613871102260348,0.3549495267868042,0.013974737375974655,0.9131847620010376,0.05830914527177811,0.01453142799437046,0.0001707096397876584,0.00017052312014449378,1.0,0.1707096397876584,0.3182152704333122,-0.00035929222294556196,0.36356945913337557,0.0029872002080083004
50,0.5569758518858932,0.9749446018858932,0.7008366481141068,0.5608821018858932,0.35513584654778246,0.013966461643576622,0.9126444458961487,0.05886620283126831,0.014522823505103588,0.00018631976097827074,0.00017289261626956032,1.0,0.18631976097827074,0.31858710725357836,-0.00037183682026614706,0.3628257854928433,0.003173519968986571
51,0.5564848132829521,0.9744535632829521,0.7013276867170479,0.5603910632829521,0.3553186770156026,0.013958354480564594,0.9121146202087402,0.059412628412246704,0.01451439131051302,0.00018283046782013868,0.00017438329400214705,1.0,0.18283046782013868,0.31897674358654027,-0.0003896363329619068,0.36204651282691946,0.00335635043680671
52,0.5559745115059912,0.9739432615059912,0.7018379884940088,0.5598807615059912,0.355510374084115,0.013949849642813206,0.9115590453147888,0.059985581785440445,0.01450554933398962,0.00019169706851240864,0.00017698036017868628,1.0,0.19169706851240864,0.31938787830715754,-0.00041113472061726775,0.36122424338568493,0.0035480475053191185
53,0.5554441806236384,0.9734129306236384,0.7023683193763616,0.5593504306236384,0.35571139767765997,0.013940941542387009,0.9109763503074646,0.060586441308259964,0.014496286399662495,0.0002010235935449578,0.000180586845183627,1.0,0.2010235935449578,0.31982324495315256,-0.00043536664599502783,0.3603535100936949,0.0037490710988640763
54,0.5549224324278322,0.9728911824278322,0.7028900675721678,0.5588286824278322,0.3559109416231513,0.013932072557508945,0.9103977680206299,0.061183005571365356,0.014487064443528652,0.0001995439454913206,0.00018343041022978102,1.0,0.1995439454913206,0.3202850040146852,-0.00046175906153261836,0.35942999197062964,0.003948615044355397
55,0.5544579631331699,0.9724267131331699,0.7033545368668301,0.5583642131331699,0.35609020754694937,0.013924128375947475,0.909878134727478,0.061718836426734924,0.014478802680969238,0.0001792659237980776,0.0001828057372650255,0.9131654518730357,0.1792659237980776,0.32070641156556595,-0.0004214075508807702,0.3585871768688681,0.0041278809681534745
56,0.5540262969771242,0.9719950469771242,0.7037862030228758,0.5579325469771242,0.3562581611052156,0.013916684314608574,0.9093917012214661,0.062220655381679535,0.01447106059640646,0.0001679535582662095,0.00018057791041520312,0.5792749306592881,0.1679535582662095,0.3210704499207259,-0.00036403835515996796,0.35785910015854816,0.004295834526419684
57,0.553599681712963,0.971568431712963,0.704212818287037,0.557505931712963,0.3564253118261695,0.013909264467656612,0.908906877040863,0.06272044032812119,0.014463347382843494,0.00016715072095391248,0.0001785638319960095,0.24783600958927554,0.16715072095391248,0.3213761818249511,-0.0003057319042251705,0.3572476363500978,0.0044629852473735965
58,0.553130204078159,0.971098954078159,0.704682295921841,0.557036454078159,0.3566107927262783,0.01390104740858078,0.9083695411682129,0.06327468901872635,0.014454802498221397,0.00018548090010883644,0.00017960139221293356,0.40668908941434867,0.18548090010883644,0.3217227034651117,-0.00034652164016063525,0.35655459306977655,0.004648466147482433
59,0.5527091503267973,0.9706779003267973,0.7051033496732027,0.5566154003267973,0.3567783719673753,0.0138936135917902,0.9078837037086487,0.06377563625574112,0.014447073452174664,0.000167579241096949,0.00017779806954553587,-0.06897908718025314,0.167579241096949,0.3221076438082422,-0.00038494034313046877,0.3557847123835156,0.004816045388579382
60,0.5522422640931373,0.9702110140931373,0.7055702359068627,0.5561485140931373,0.35696564167737965,0.013885301537811756,0.9073408842086792,0.0643354058265686,0.014438427984714508,0.00018726971000437853,0.00017921881561436227,0.06896418495107937,0.18726971000437853,0.32253247778272304,-0.0004248339744808427,0.3549350444345539,0.0050033150985837604
61,0.5518780254289216,0.9698467754289216,0.7059344745710784,0.5557842754289216,0.3571128394454718,0.013878779485821724,0.906914234161377,0.06477537006139755,0.014431644231081009,0.00014719776809213325,0.00017441565848602791,-1.0,0.14719776809213325,0.3229993868021201,-0.00046690901939705487,0.3540012263957598,0.005150512866675894
62,0.5515992051334423,0.9695679551334423,0.7062132948665577,0.5555054551334423,0.35722611982375385,0.013873745687305927,0.9065859317779541,0.06511395424604416,0.014426412992179394,0.00011328037828206572,0.0001652453664554336,-1.0,0.11328037828206572,0.3235103140767887,-0.0005109272746686155,0.3529793718464226,0.005263793244957959
63,0.5513491455610022,0.9693178955610022,0.7064633544389978,0.5552553955610022,0.3573282168060541,0.013869218528270721,0.9062901139259338,0.06541906297206879,0.014421707019209862,0.00010209698230023712,0.00015577310883215412,-1.0,0.10209698230023712,0.3240668392054944,-0.0005565251287056872,0.3518663215890112,0.0053658902272581965
64,0.5510868523624727,0.9690556023624727,0.7067256476375273,0.5549931023624727,0.3574357355758548,0.01386445201933384,0.9059782028198242,0.06574056297540665,0.014416751451790333,0.0001075187698006963,0.00014853495797743544,-1.0,0.1075187698006963,0.324670292890156,-0.0006034536846615812,0.35065941421968805,0.005473408997058893
65,0.5508290185866013,0.9687977685866013,0.7069834814133987,0.5547352685866013,0.35754197772592305,0.013859743252396584,0.9056704044342041,0.06605804711580276,0.014411852695047855,0.00010624215006826976,0.0001421910367910606,-1.0,0.10624215006826976,0.3253219026117361,-0.0006516097215801264,0.3493561947765278,0.005579651147127163
66,0.5505819801879085,0.9685507301879085,0.7072305198120915,0.5544882301879085,0.3576441588997841,0.01385521050542593,0.9053742289543152,0.06636346876621246,0.014407139271497726,0.00010218117386107117,0.0001361895573515622,-1.0,0.10218117386107117,0.3260229016073734,-0.0007009989956373031,0.3479541967852532,0.005681832320988234
67,0.5503343332992919,0.9683030832992919,0.7074781667007081,0.5542405832992919,0.35774702310562134,0.01385063398629427,0.9050760865211487,0.06667094677686691,0.014402380213141441,0.00010286420583721645,0.00013119075462441035,-1.0,0.10286420583721645,0.3267745933205706,-0.0007516917131972223,0.34645081335885874,0.00578469652682545
68,0.5500596405228758,0.9680283905228758,0.7077528594771242,0.5539658905228758,0.35786166679114106,0.013845553621649742,0.9047436118125916,0.0670136958360672,0.014397098682820797,0.00011464368551972193,0.00012870869425870708,-1.0,0.11464368551972193,0.3275783814166349,-0.0008037880960642951,0.34484323716673015,0.005899340212345172
69,0.5498238655705339,0.9677926155705339,0.7079886344294661,0.5537301155705339,0.35796046871691944,0.013841168954968452,0.904457151889801,0.06730905920267105,0.01439253892749548,9.88019257783801e-05,0.00012422267898665803,-1.0,0.0988019257783801,0.32843577332759033,-0.0008573919109554073,0.34312845334481934,0.005998142138123552
70,0.5496066729643246,0.9675754229643246,0.7082058270356754,0.5535129229643246,0.35805187322199344,0.013837109319865704,0.9041922688484192,0.06758224964141846,0.014388317242264748,9.140450507399978e-05,0.00011929995289975929,-1.0,0.09140450507399978,0.329348371300029,-0.0009125979724386446,0.34130325739994205,0.006089546643197552
71,0.5494627757352941,0.9674315257352941,0.7083497242647059,0.5533690257352941,0.35811265181750057,0.013834421522915363,0.9040161967277527,0.06776385754346848,0.014385522343218327,6.0778595507127164e-05,0.00011052174929086447,-1.0,0.060778595507127164,0.3303178542331679,-0.000969482933138921,0.3393642915336642,0.006150325238704679
72,0.5493184700095316,0.9672872200095316,0.7084940299904684,0.5532247200095316,0.35817370142787697,0.013831711374223232,0.9038391709327698,0.06794637441635132,0.01438270416110754,6.104961037639578e-05,0.00010310092845369417,-1.0,0.06104961037639578,0.33134595632564906,-0.0010281020924811646,0.3373080873487019,0.006211374849081075
73,0.5492474724264705,0.9672162224264705,0.7085650275735295,0.5531537224264705,0.35820385452359915,0.013830376788973808,0.9037519097328186,0.06803642958402634,0.014381316490471363,3.0153095722185164e-05,9.215875354396783e-05,-1.0,0.030153095722185164,0.3324344464427307,-0.0010884901170816197,0.33513110711453864,0.00624152794480326
74,0.5491621987336601,0.9671309487336601,0.7086503012663399,0.5530684487336601,0.3582400388270617,0.013828769326210022,0.9036469459533691,0.06814462691545486,0.014379646629095078,3.6184303462527545e-05,8.376258603175179e-05,-1.0,0.036184303462527545,0.3335851062421703,-0.001150659799439624,0.3328297875156594,0.006277712248265788
75,0.5490606958061003,0.9670294458061003,0.7087518041938997,0.5529669458061003,0.35828319996595387,0.01382684987038374,0.9035218954086304,0.0682736188173294,0.014377649873495102,4.316113889218931e-05,7.767236896081742e-05,-1.0,0.04316113889218931,0.33479971191945285,-0.001214605677282543,0.3304005761610943,0.006320873387157977
76,0.5489816516884531,0.9669504016884531,0.7088308483115469,0.5528879016884531,0.3583168647810817,0.013825362548232079,0.9034242630004883,0.06837426126003265,0.014376102946698666,3.366481512784292e-05,7.107123588587124e-05,-1.0,0.03366481512784292,0.33608001632460416,-0.0012803044051513113,0.3278399673507917,0.00635453820228582
77,0.548949176198257,0.966917926198257,0.708863323801743,0.552855426198257,0.35833073973655705,0.01382475532591343,0.9033841490745544,0.06841567158699036,0.014375470578670502,1.3874955475334794e-05,6.249179382429077e-05,-1.0,0.013874955475334794,0.33742773275683763,-0.00134771643223347,0.32514453448632474,0.006368413157761155
